qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
FBtr0072188	2R	100.000	195	0	0	3	197	24045183	24044989	3.41e-96	352
FBtr0072188	2R	100.000	149	0	0	299	447	24044752	24044604	3.20e-71	269
FBtr0072188	2R	100.000	109	0	0	194	302	24044920	24044812	1.66e-49	197
FBtr0072188	3R	92.308	26	2	0	96	121	21670716	21670691	0.098	39.2
FBtr0072188	3R	86.667	30	4	0	179	208	10131368	10131397	0.34	37.4
FBtr0072188	2L	95.455	22	1	0	50	71	18510196	18510217	1.2	36.5
FBtr0072188	2L	89.286	28	1	1	61	88	13147962	13147937	1.2	35.6
FBtr0072188	2L	91.304	23	2	0	287	309	2747899	2747877	4.2	33.7
FBtr0072188	3L	87.097	31	3	1	81	111	21478941	21478912	1.2	35.6
FBtr0072188	X	91.304	23	2	0	51	73	5074789	5074767	4.2	33.7
