qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
FBtr0347024	X	91.818	770	7	11	260	973	2625750	2624981	0.0	1106
FBtr0347024	X	100.000	259	0	0	1	259	2626081	2625823	2.17e-130	468
FBtr0347024	X	82.979	376	5	8	971	1287	2624924	2624549	6.22e-112	407
FBtr0347024	X	91.176	34	3	0	383	416	1126526	1126559	6.68e-04	49.1
FBtr0347024	X	96.000	25	1	0	1180	1204	9100627	9100603	0.099	41.9
FBtr0347024	X	92.593	27	2	0	391	417	11759380	11759354	0.099	41.0
FBtr0347024	X	92.308	26	2	0	391	416	9503463	9503488	0.35	39.2
FBtr0347024	X	92.308	26	2	0	392	417	10508891	10508916	0.35	39.2
FBtr0347024	X	78.723	47	7	1	371	417	16417648	16417605	0.35	39.2
FBtr0347024	X	75.000	80	14	5	363	436	5211860	5211939	1.2	38.3
FBtr0347024	X	89.286	28	3	0	391	418	5554858	5554831	1.2	38.3
FBtr0347024	X	84.848	33	5	0	385	417	16318511	16318479	1.2	38.3
FBtr0347024	X	82.857	35	6	0	379	413	5561652	5561686	1.2	37.4
FBtr0347024	X	80.488	41	5	1	377	417	11864469	11864432	1.2	37.4
FBtr0347024	X	83.784	37	5	1	375	411	14276291	14276256	1.2	37.4
FBtr0347024	X	78.000	50	7	2	361	410	9254033	9253988	4.2	36.5
FBtr0347024	X	80.435	46	7	2	366	411	11603543	11603500	4.2	36.5
FBtr0347024	X	88.889	27	3	0	391	417	11759386	11759360	4.2	36.5
FBtr0347024	X	78.571	42	9	0	371	412	14136676	14136635	4.2	36.5
FBtr0347024	X	95.455	22	1	0	390	411	15407025	15407004	4.2	36.5
FBtr0347024	X	88.889	27	3	0	391	417	18151370	18151344	4.2	36.5
FBtr0347024	X	88.889	27	3	0	391	417	18919897	18919923	4.2	36.5
FBtr0347024	X	91.667	24	2	0	388	411	1508446	1508469	4.2	35.6
FBtr0347024	X	82.353	34	6	0	371	404	4958750	4958783	4.2	35.6
FBtr0347024	X	75.510	49	12	0	370	418	8502342	8502390	4.2	35.6
FBtr0347024	X	86.207	29	4	0	390	418	11729200	11729228	4.2	35.6
FBtr0347024	X	83.333	36	5	1	382	417	13487891	13487857	4.2	35.6
FBtr0347024	X	74.074	54	14	0	351	404	16417584	16417531	4.2	35.6
FBtr0347024	3L	75.573	393	94	2	625	1016	275905	276296	1.13e-70	269
FBtr0347024	3L	80.392	51	10	0	367	417	12780544	12780494	6.68e-04	48.2
FBtr0347024	3L	77.586	58	13	0	391	448	275671	275728	0.002	47.3
FBtr0347024	3L	85.366	41	4	2	371	410	10635223	10635262	0.099	41.0
FBtr0347024	3L	83.333	36	6	0	364	399	12504282	12504247	0.35	39.2
FBtr0347024	3L	83.333	36	6	0	375	410	13990725	13990760	0.35	39.2
FBtr0347024	3L	72.414	58	7	1	370	418	7966884	7966827	1.2	37.4
FBtr0347024	3L	88.889	27	3	0	374	400	1310828	1310854	4.2	36.5
FBtr0347024	3L	88.889	27	3	0	391	417	12129251	12129225	4.2	36.5
FBtr0347024	3L	88.889	27	3	0	391	417	16182251	16182225	4.2	36.5
FBtr0347024	3L	84.375	32	5	0	56	87	18989859	18989890	4.2	36.5
FBtr0347024	3L	82.353	34	6	0	388	421	1359390	1359357	4.2	35.6
FBtr0347024	3L	91.667	24	2	0	391	414	10720408	10720431	4.2	35.6
FBtr0347024	2L	68.124	709	219	6	484	1190	22079907	22080610	1.91e-61	240
FBtr0347024	2L	95.833	24	1	0	370	393	2610538	2610561	0.35	40.1
FBtr0347024	2L	83.721	43	5	2	370	411	16869749	16869790	0.35	40.1
FBtr0347024	2L	92.308	26	2	0	391	416	15429623	15429648	0.35	39.2
FBtr0347024	2L	88.889	27	3	0	912	938	7124218	7124244	4.2	36.5
FBtr0347024	2L	91.667	24	2	0	389	412	457108	457131	4.2	35.6
FBtr0347024	2L	100.000	19	0	0	380	398	6950025	6950007	4.2	35.6
FBtr0347024	2L	82.353	34	6	0	357	390	8197332	8197299	4.2	35.6
